"",F.stat,p.value,-log10(p),FDR
605.11_362.2962m/z,12.437,3.2937e-05,4.4823,0.072825
508.61_706.6809m/z,12.074,4.2477e-05,4.3718,0.072825
385.18_521.5131m/z,11.902,4.7926e-05,4.3194,0.072825
604.88_361.2892m/z,11.692,5.5584e-05,4.2551,0.072825
605.34_365.3203m/z,11.32,7.2491e-05,4.1397,0.072825
584.01_362.2963m/z,11.116,8.3894e-05,4.0763,0.072825
385.18_522.5162m/z,11.105,8.4537e-05,4.073,0.072825
605.11_363.305m/z,11.049,8.8073e-05,4.0552,0.072825
605.11_640.5202m/z,10.958,9.4022e-05,4.0268,0.072825
Cer(d18:1/16:0),10.888,9.8868e-05,4.0049,0.072825
556.4_636.6657m/z,10.745,0.00010968,3.9599,0.072825
326.44_935.5657m/z,10.437,0.00013734,3.8622,0.072825
385.19_520.5097m/z,10.414,0.00013962,3.8551,0.072825
409.6_814.6245m/z,10.26,0.00015641,3.8057,0.072825
605.34_644.55m/z,10.251,0.00015746,3.8028,0.072825
409.6_816.6295m/z,10.229,0.00015992,3.7961,0.072825
605.11_639.5137m/z,10.216,0.00016149,3.7918,0.072825
605.34_641.5281m/z,10.206,0.00016267,3.7887,0.072825
409.6_813.6214m/z,10.196,0.00016392,3.7854,0.072825
409.6_812.6178m/z,10.153,0.00016913,3.7718,0.072825
PC(18:0/20:3),10.128,0.00017236,3.7636,0.072825
605.34_642.5326m/z,10.126,0.00017257,3.763,0.072825
352.68_518.4936m/z,10.002,0.0001892,3.7231,0.074629
409.6_815.6281m/z,9.9753,0.00019292,3.7146,0.074629
648.0_957.7928m/z,9.8389,0.00021347,3.6707,0.079275
605.11_364.3105m/z,9.7759,0.00022373,3.6503,0.079887
586.52_778.6895m/z,9.7003,0.00023668,3.6258,0.081383
584.01_363.3051m/z,9.6088,0.00025342,3.5962,0.084028
352.68_519.497m/z,9.4512,0.00028521,3.5448,0.090419
429.33_826.641m/z,9.419,0.00029218,3.5344,0.090419
605.34_366.3243m/z,9.2184,0.00033988,3.4687,0.10113
409.83_955.5629m/z,9.1849,0.00034859,3.4577,0.10113
591.77_665.5284m/z,9.0891,0.00037481,3.4262,0.10545
527.09_635.6516m/z,9.0285,0.00039246,3.4062,0.10716
409.83_954.5594m/z,8.8992,0.000433,3.3635,0.11486
398.19_790.6159m/z,8.8147,0.00046185,3.3355,0.11911
409.83_834.6008m/z,8.7361,0.00049045,3.3094,0.12016
508.15_868.7351m/z,8.7325,0.00049181,3.3082,0.12016
418.04_404.7947m/z,8.6503,0.0005238,3.2808,0.12219
409.6_1627.2389m/z,8.6437,0.00052645,3.2786,0.12219
409.6_1624.2298m/z,8.5459,0.00056753,3.246,0.12851
605.11_360.2805m/z,8.4047,0.0006328,3.1987,0.13797
410.05_828.6134m/z,8.392,0.00063903,3.1945,0.13797
409.6_813.5251m/z,8.3263,0.00067229,3.1724,0.14185
409.83_829.6176m/z,8.1584,0.00076583,3.1159,0.1544
584.46_642.5345m/z,8.0988,0.00080219,3.0957,0.1544
409.83_835.605m/z,8.0739,0.0008179,3.0873,0.1544
591.54_664.523m/z,8.0259,0.00084908,3.071,0.1544
590.86_360.2805m/z,7.9954,0.00086953,3.0607,0.1544
422.37_860.6162m/z,7.9909,0.0008726,3.0592,0.1544
409.83_1074.5151m/z,7.9787,0.00088095,3.055,0.1544
319.37_820.5514m/z,7.9605,0.00089358,3.0489,0.1544
409.6_1626.2363m/z,7.9383,0.00090923,3.0413,0.1544
346.52_713.587m/z,7.9365,0.00091052,3.0407,0.1544
407.09_829.6818m/z,7.9268,0.00091748,3.0374,0.1544
347.2_1539.1247m/z,7.9076,0.00093133,3.0309,0.1544
588.8_859.6595m/z,7.8495,0.00097467,3.0111,0.15875
409.83_184.074m/z,7.8252,0.0009935,3.0028,0.15903
398.19_1601.2127m/z,7.713,0.001085,2.9646,0.16902
605.34_643.5414m/z,7.7045,0.0010923,2.9616,0.16902
422.37_419.3112m/z,7.6501,0.0011401,2.9431,0.17009
409.6_812.4933m/z,7.6215,0.0011662,2.9332,0.17009
491.27_821.6674m/z,7.5981,0.0011879,2.9252,0.17009
634.09_823.7594m/z,7.5811,0.001204,2.9194,0.17009
409.83_631.558m/z,7.5759,0.0012089,2.9176,0.17009
409.6_629.5506m/z,7.5756,0.0012092,2.9175,0.17009
491.27_820.6633m/z,7.4717,0.0013128,2.8818,0.18191
365.33_506.494m/z,7.4219,0.0013656,2.8647,0.18645
517.73_621.6301m/z,7.3648,0.001429,2.845,0.18937
111.99_583.3254m/z,7.3513,0.0014444,2.8403,0.18937
609.67_605.5459m/z,7.3461,0.0014504,2.8385,0.18937
422.37_855.6327m/z,7.3304,0.0014686,2.8331,0.18937
111.99_158.9352m/z,7.2775,0.0015317,2.8148,0.1918
590.85_359.273m/z,7.2573,0.0015567,2.8078,0.1918
508.15_826.6776m/z,7.251,0.0015644,2.8056,0.1918
374.69_571.4534m/z,7.2296,0.0015913,2.7982,0.1918
409.14_873.6304m/z,7.2291,0.0015921,2.798,0.1918
588.8_858.6516m/z,7.1784,0.0016578,2.7805,0.1918
417.58_404.2911m/z,7.1602,0.001682,2.7742,0.1918
596.1_550.4914m/z,7.1556,0.0016882,2.7726,0.1918
491.04_778.6577m/z,7.1551,0.001689,2.7724,0.1918
633.63_952.8269m/z,7.1513,0.0016941,2.7711,0.1918
330.09_691.5744m/z,7.1146,0.0017446,2.7583,0.19514
507.92_836.6864m/z,7.0933,0.0017745,2.7509,0.19612
PC(16:0/22:4),7.0357,0.0018583,2.7309,0.20268
508.15_796.6941m/z,7.0229,0.0018775,2.7264,0.20268
591.77_666.5337m/z,7.0046,0.0019053,2.72,0.20332
398.19_789.613m/z,6.9825,0.0019394,2.7123,0.20461
100.13_258.6571m/z,6.8952,0.0020805,2.6818,0.2165
444.16_805.6767m/z,6.8761,0.0021127,2.6752,0.2165
418.27_405.2983m/z,6.8493,0.0021588,2.6658,0.2165
591.77_667.5422m/z,6.8448,0.0021667,2.6642,0.2165
357.24_1558.121m/z,6.8382,0.0021783,2.6619,0.2165
409.83_850.5786m/z,6.8304,0.002192,2.6592,0.2165
296.44_601.5188m/z,6.7926,0.0022599,2.6459,0.22006
398.19_786.6022m/z,6.7654,0.0023102,2.6364,0.22006
398.19_787.6056m/z,6.7569,0.0023261,2.6334,0.22006
527.09_608.6342m/z,6.7562,0.0023274,2.6331,0.22006
413.25_854.6253m/z,6.746,0.0023466,2.6296,0.22006
100.13_634.312m/z,6.6496,0.0025371,2.5957,0.23328
330.09_692.5783m/z,6.631,0.0025757,2.5891,0.23328
328.95_1536.105m/z,6.6275,0.0025831,2.5879,0.23328
409.83_630.5549m/z,6.6199,0.0025991,2.5852,0.23328
409.37_905.682m/z,6.6132,0.0026132,2.5828,0.23328
345.83_834.5931m/z,6.5909,0.0026609,2.575,0.23528
648.0_952.8335m/z,6.5559,0.0027377,2.5626,0.23826
422.37_418.808m/z,6.5091,0.0028439,2.5461,0.23826
430.92_600.5125m/z,6.5069,0.0028491,2.5453,0.23826
409.14_1148.4938m/z,6.5038,0.0028563,2.5442,0.23826
398.19_788.6089m/z,6.4994,0.0028665,2.5426,0.23826
659.64_856.8491m/z,6.4967,0.0028729,2.5417,0.23826
100.36_382.1994m/z,6.4861,0.0028977,2.538,0.23826
344.46_492.478m/z,6.4851,0.0029,2.5376,0.23826
384.96_596.5725m/z,6.4732,0.0029284,2.5334,0.23848
112.45_600.323m/z,6.4553,0.0029714,2.527,0.23988
PC(18:0/18:2),6.4327,0.0030268,2.519,0.24225
346.75_806.6812m/z,6.4098,0.0030838,2.5109,0.2447
589.03_804.7082m/z,6.3779,0.003165,2.4996,0.24565
417.13_829.6166m/z,6.3712,0.0031825,2.4972,0.24565
95.34_424.3437m/z,6.3697,0.0031864,2.4967,0.24565
370.35_1593.1709m/z,6.3631,0.0032036,2.4944,0.24565
408.91_804.6672m/z,6.3474,0.0032451,2.4888,0.24565
