"","PC1","PC2","PC3","PC4"
"977",-0.65495,0.099637,-0.055815,-0.080736
"980",-0.53694,-0.0026395,0.02816,0.10086
"1191",-0.55701,0.087515,-0.0064072,-0.10019
"1224",-0.66929,0.072421,0.033589,-0.066563
"1228",-0.48886,-0.14815,-0.025713,0.13625
"994",0.09707,-0.062292,-0.053145,0.032767
"1029",0.011814,0.25559,0.11538,0.077321
"1038",0.1616,-0.20311,-0.018705,-0.058239
"1078",0.48567,0.082994,0.10017,-0.052228
"1107",0.19649,-0.089506,-0.038694,-0.016678
"1119",0.10303,-0.15854,0.20939,-0.012724
"1131",0.29088,0.10978,-0.081033,0.033703
"1136",0.42093,0.11854,-0.019096,-0.011552
"1151",0.042671,-0.017997,0.018041,0.058281
"1168",0.15558,-0.14808,0.039837,-0.025176
"1169",0.32664,0.12071,-0.072757,0.025312
"1177",0.24886,-0.099723,-0.025666,-0.044572
"1207",0.37567,0.11748,-0.045542,0.0055919
"1242",-0.009866,-0.13462,-0.102,-0.0014325
