"","Fold Change","log2(FC)"
"88.26_422.2292m/z",0.031265,-4.9993
"582.87_742.6831m/z",0.033676,-4.8921
"111.99_158.9352m/z",0.046313,-4.4324
"88.26_421.2259m/z",0.049763,-4.3288
"555.94_940.741m/z",0.052215,-4.2594
"149.97_360.3625m/z",0.052974,-4.2386
"329.18_1561.1082m/z",0.054354,-4.2015
"329.18_1560.1048m/z",0.058667,-4.0913
"625.41_823.1m/z",0.081105,-3.6241
"328.95_1536.105m/z",0.085347,-3.5505
"541.46_716.5895m/z",0.087878,-3.5083
"563.47_740.6682m/z",0.090861,-3.4602
"541.69_714.5785m/z",0.10772,-3.2146
"582.64_523.4717m/z",0.10968,-3.1886
"74.34_391.2846m/z",0.11224,-3.1554
"583.1_761.6079m/z",0.11523,-3.1174
"563.25_760.6067m/z",0.12652,-2.9826
"586.52_778.6895m/z",0.13068,-2.9359
"559.6_718.6043m/z",0.13157,-2.9261
"513.17_682.5974m/z",0.13834,-2.8537
"603.86_771.7168m/z",0.14803,-2.756
"520.7_734.6306m/z",0.14858,-2.7507
"63.39_521.2749m/z",0.14891,-2.7474
"585.38_467.4095m/z",0.15923,-2.6508
"644.35_577.9602m/z",0.15994,-2.6444
"Ornithine",0.16194,-2.6265
"538.95_731.5739m/z",0.16392,-2.6089
"50.51_517.2428m/z",0.16486,-2.6007
"563.25_759.6043m/z",0.16899,-2.565
"563.48_744.6199m/z",0.17305,-2.5307
"566.67_786.6223m/z",0.17855,-2.4856
"346.97_381.373m/z",0.18349,-2.4462
"603.86_775.6702m/z",0.1839,-2.443
"513.17_739.6199m/z",0.18636,-2.4238
"112.45_600.323m/z",0.189,-2.4035
"541.23_715.5856m/z",0.18984,-2.3971
"269.29_555.4526m/z",0.19361,-2.3688
"586.52_773.6544m/z",0.19499,-2.3585
"559.6_714.6512m/z",0.1967,-2.3459
"549.33_877.7581m/z",0.19713,-2.3428
"538.84_768.6546m/z",0.19756,-2.3396
"563.93_967.76m/z",0.19832,-2.3341
"541.92_757.59m/z",0.20476,-2.288
"508.38_870.7509m/z",0.20568,-2.2815
"87.58_412.2855m/z",0.20607,-2.2788
"328.72_987.4799m/z",0.20678,-2.2738
"538.95_711.6326m/z",0.20846,-2.2622
"606.7_798.7379m/z",0.20981,-2.2528
"644.35_577.7021m/z",0.21035,-2.2491
"586.52_779.6945m/z",0.21278,-2.2325
"588.34_493.4247m/z",0.21442,-2.2215
"603.86_790.6391m/z",0.21491,-2.2182
"556.4_636.6657m/z",0.21561,-2.2135
"552.98_904.7793m/z",0.21614,-2.21
"588.34_494.4281m/z",0.21743,-2.2014
"560.05_489.4049m/z",4.5737,2.1934
"541.92_741.6014m/z",0.22096,-2.1781
"584.01_551.5029m/z",0.22099,-2.1779
"347.2_1461.1428m/z",0.22483,-2.1531
"513.17_683.6011m/z",0.22578,-2.147
"552.52_736.6452m/z",0.2259,-2.1462
"624.27_495.441m/z",0.22703,-2.139
"472.22_869.737m/z",0.228,-2.1329
"370.12_395.3886m/z",0.22801,-2.1328
"589.26_892.7971m/z",0.23038,-2.1179
"LPI(18:0/0:0)",0.23081,-2.1152
"559.6_717.6007m/z",0.23236,-2.1055
"112.45_599.3197m/z",0.23456,-2.092
"112.68_991.6746m/z",0.2353,-2.0874
"564.27_966.7564m/z",0.23563,-2.0854
"247.16_424.3333m/z",0.23673,-2.0787
"112.68_992.678m/z",0.23836,-2.0688
"591.54_821.7343m/z",0.24295,-2.0413
"546.59_763.665m/z",0.24592,-2.0237
"538.95_710.6301m/z",0.24669,-2.0192
"112.68_993.681m/z",0.2471,-2.0168
"48.23_407.2795m/z",0.24769,-2.0134
"596.1_786.668m/z",0.24777,-2.0129
"577.85_779.6945m/z",0.25022,-1.9987
"563.25_797.6874m/z",0.2523,-1.9868
"381.76_521.4569m/z",0.25575,-1.9672
"341.72_880.5369m/z",0.25614,-1.965
"347.88_1464.1062m/z",0.25677,-1.9614
