"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"977",-1.2868,0.047561,-0.12157,-0.33131,0.015416,0.032332,-0.014356,0.01193,0.0034028,0.00091725
"980",-1.1959,-0.019327,0.023346,-0.048176,0.022231,0.025414,0.0053927,0.0086376,0.0076569,9.6305e-05
"1191",-1.0742,0.13709,-0.001029,0.086603,-0.039406,-0.020347,0.028363,-0.0021651,0.0025146,0.0081036
"1224",-0.79776,0.32322,-0.17691,0.036157,-0.06735,-0.028997,0.0021512,-0.0007067,-0.0018077,0.00077643
"1228",-0.95042,-0.23486,0.15136,0.1363,0.070299,0.037984,0.0096507,0.0090241,-0.011238,0.0010899
"936",0.60277,0.0081861,0.0044297,-0.084037,-0.019868,0.021194,0.0024282,-0.0034499,-0.0035963,0.0061441
"970",-0.033099,-0.10494,0.065752,-0.072637,-0.0049305,0.040351,-0.014624,0.014063,-0.0046478,0.0099449
"971",-0.31207,0.25372,-0.03857,0.19182,0.061354,0.01321,0.011024,-0.0014837,-0.012324,-0.0022008
"976",-0.20675,-0.016151,0.062608,0.0028095,-0.038909,-0.0080649,0.0043313,-0.020257,0.018505,0.0032582
"1019",0.28787,0.00015483,-0.13478,-0.037018,0.036646,0.012916,-0.011775,-0.01273,-0.0056671,-0.0056479
"1024",-0.41359,0.29157,-0.046788,0.15252,0.022131,-0.01591,0.0014343,-0.00036989,0.0027242,-0.0020306
"1033",-0.15274,0.13756,-0.041036,-0.18248,0.030101,0.029438,0.012576,-0.019911,-0.012788,0.0084721
"1046",0.4554,0.0071701,0.091481,0.076707,0.031044,0.026399,-0.026208,0.011627,0.0065882,-0.00043201
"1054",-0.61996,-0.17649,0.099645,0.14551,0.027118,0.0056014,0.0031575,-0.0086679,-0.0024458,-0.0010625
"1056",0.46141,0.038696,-0.041098,0.069695,-0.014794,0.014877,-0.0091862,-0.018949,0.001514,-7.3454e-05
"1090",0.47653,0.009403,-0.098997,-0.028098,0.071272,0.029493,-0.0081811,-0.0050605,-0.0034627,-0.0015145
"1092",0.18843,0.15377,0.09643,0.13239,-0.0099759,0.007997,-0.0067804,0.013911,0.0079415,-1.4061e-05
"1097",0.50643,-0.044743,-0.12363,0.055002,-0.003464,-0.0051059,-0.013491,0.0041248,-0.0095804,-0.0058523
"1100",-0.67805,0.21399,-0.03669,0.14805,-0.0596,-0.045,0.012984,-0.0040929,-0.0043564,4.9904e-05
"1104",0.75065,-0.00052123,-0.039952,-0.11886,0.050973,-0.070021,0.042624,0.014225,0.0070938,-0.0062259
"1106",0.46923,0.046285,0.015862,0.050648,-0.065334,0.0233,-0.0020346,-0.0026741,-0.0075112,-0.0027983
"1110",0.50195,0.092285,-0.11731,0.028315,-0.0032469,-0.023142,0.0086665,0.007229,-0.0072136,0.0036845
"1112",-0.14656,0.47994,-0.16491,0.083489,0.036481,0.0038033,-0.020514,0.0091427,0.017172,-0.0086853
"1114",0.54047,-0.09303,-0.21192,-0.22245,0.0041048,-0.0065439,0.0027978,-0.017535,-0.0021889,0.0045907
"1117",-0.60642,-0.47496,0.071204,0.13787,-0.0733,0.048949,-0.0034276,0.0061762,-0.0014984,-0.0060462
"1127",0.18768,-0.2336,-0.17389,0.16616,0.073146,-0.021155,-0.011162,-0.016874,0.010811,-0.0029117
"1128",0.37339,0.0047486,-0.010422,0.010216,-0.081179,0.025071,0.0061653,-0.019622,-0.0011717,-0.013569
"1129",0.49935,0.064732,0.11413,0.14662,-0.025489,0.026671,0.0045729,0.00090579,0.0091876,0.010235
"1134",-0.84351,-0.53135,-0.23808,0.13975,0.029366,-0.0059456,0.0016434,0.00042027,0.0064217,-0.00035639
"1143",0.52472,-0.14583,-0.062671,0.015132,-0.057487,0.042257,0.014921,0.0095406,-0.0082214,-0.0018864
"1152",0.36121,0.089975,0.0073875,0.10764,-0.028693,0.0073501,-0.012137,-0.0038382,0.0099848,0.0065847
"1153",-0.89662,0.0064507,0.14931,-0.098794,0.072401,-0.12435,-0.031567,-0.012573,-0.020058,-0.00088469
"1164",-0.3941,-0.047111,0.14613,-0.23326,-0.076765,0.030004,0.019663,0.0022811,-0.0016704,-0.0095172
"1172",0.52934,0.016112,0.10211,-0.058553,0.085783,0.052979,-0.017791,0.0051872,-0.0016962,0.0018113
"1173",-0.46573,0.076921,0.13725,-0.13893,0.014879,0.0068124,0.021471,-0.0086343,0.0044592,-4.0521e-05
"1192",0.40704,-0.118,-0.16452,-0.016912,-0.072952,-0.0037252,-0.0064389,-0.0010895,0.00072332,0.0048558
"1194",0.44912,0.028193,0.22366,0.056706,0.063607,0.036761,0.014027,-0.0060871,0.0002496,-0.00015819
"1195",0.38512,0.013679,0.14715,0.092691,-0.018386,-0.001609,-0.011781,0.0098481,-0.0076537,0.0058562
"1197",-0.032193,0.11109,0.073593,-0.052906,-0.050487,0.00098559,-0.018412,0.024345,-0.0016737,-0.00044695
"1198",0.078061,0.023979,-0.088477,-0.074078,-0.08316,0.010553,-0.011679,-0.0032349,-0.0094799,-1.2958e-05
"1205",0.6507,-0.15589,0.046962,0.024064,0.03953,-0.057885,0.030431,-0.0057529,0.0099805,0.0040669
"1210",0.015836,-0.20123,-0.3701,-0.15377,1.1384e-05,-0.048241,-0.013811,0.01205,0.012141,0.0028337
"1234",0.27008,-0.14599,0.43517,-0.066476,-0.061561,-0.12977,-0.02592,-0.0055758,0.0074295,-0.0016612
"1236",0.029025,0.048576,0.22446,-0.22276,0.044994,0.044532,0.0060651,0.0037233,0.0191,-0.0041223
"1238",0.39634,0.068012,0.069695,-0.062336,0.03089,0.032979,0.00067348,-0.0096073,-0.010801,-0.003367
"1243",0.70834,-0.049044,-0.055755,0.010962,0.022558,-0.074398,0.024062,0.032552,-0.012849,-0.0018529
