"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"556.4_636.6657m/z",2.2561,2.2148,2.2028,2.1991,2.1933,2.193,2.1902,2.1818
"527.09_635.6516m/z",1.578,1.5188,1.5174,1.515,1.5204,1.5202,1.5183,1.5128
"326.44_935.5657m/z",1.5069,1.611,1.5984,1.5962,1.5922,1.592,1.59,1.5838
"385.18_521.5131m/z",0.18626,0.18393,0.18501,0.2101,0.21137,0.21188,0.21978,0.22533
"385.19_520.5097m/z",0.17608,0.16956,0.19595,0.20603,0.21449,0.21447,0.22457,0.23239
"385.18_522.5162m/z",0.16757,0.16205,0.19652,0.20122,0.21499,0.21528,0.22408,0.22888
"Cer(d18:1/16:0)",0.16647,0.16716,0.21645,0.21897,0.23161,0.23176,0.24474,0.24582
"398.19_790.6159m/z",0.16101,0.15761,0.15727,0.1603,0.16828,0.16836,0.17252,0.30461
"352.68_518.4936m/z",0.033093,0.072869,0.10404,0.12494,0.13333,0.13783,0.15472,0.16137
"352.68_519.497m/z",0.024779,0.21301,0.31139,0.32355,0.326,0.32719,0.32702,0.32626
