"","Fold Change","log2(FC)"
"149.97_360.3625m/z",0.010306,-6.6003
"88.26_422.2292m/z",0.067005,-3.8996
"88.26_421.2259m/z",0.073383,-3.7684
"322.33_461.3383m/z",8.1103,3.0198
"322.33_460.3338m/z",7.7351,2.9514
"63.39_521.2749m/z",0.15028,-2.7342
"74.34_505.1962m/z",0.1652,-2.5977
"70.01_355.264m/z",5.7375,2.5204
"48.91_507.2726m/z",5.461,2.4492
"93.51_508.2154m/z",0.19036,-2.3932
"93.28_409.2353m/z",0.19477,-2.3601
"50.51_517.2428m/z",0.20787,-2.2662
"82.33_556.2154m/z",0.24819,-2.0105
"82.33_458.239m/z",0.25201,-1.9885
"70.24_369.2424m/z",3.9575,1.9846
"82.33_532.2155m/z",0.26137,-1.9358
"100.81_435.2512m/z",0.263,-1.9269
"70.24_370.2495m/z",3.7735,1.9159
"82.33_457.2356m/z",0.26781,-1.9007
"82.33_555.212m/z",0.26945,-1.8919
"100.81_534.231m/z",0.2698,-1.89
"LPA(20:3/0:0)",0.27159,-1.8805
"582.87_742.6831m/z",3.6722,1.8766
"70.01_373.2737m/z",3.51,1.8115
"LPA(16:1/0:0)",0.28827,-1.7945
"93.28_507.2118m/z",0.28937,-1.789
"70.01_368.2345m/z",3.4541,1.7883
"Ornithine",0.29222,-1.7749
"533.48_689.5697m/z",3.4098,1.7697
"504.5_657.586m/z",3.387,1.76
"82.33_434.2389m/z",0.29617,-1.7555
"158.19_603.3114m/z",0.2974,-1.7495
"504.27_661.5383m/z",3.3485,1.7435
"100.81_533.2277m/z",0.29932,-1.7402
"571.23_726.6614m/z",3.3327,1.7367
"48.91_373.2736m/z",3.3059,1.725
"LPA(0:0/20:4)",0.30288,-1.7232
"559.6_714.6512m/z",3.1978,1.6771
"69.32_451.3059m/z",3.1761,1.6673
"582.64_523.4717m/z",3.1057,1.6349
"Ethanol",0.32251,-1.6326
"582.87_740.6771m/z",3.0809,1.6234
"533.48_685.6174m/z",3.0489,1.6083
"513.17_740.6231m/z",3.0376,1.6029
"582.87_741.6805m/z",3.0263,1.5975
"LPS(18:0/0:0)",0.3322,-1.5899
"513.17_683.6011m/z",3.004,1.5869
"LPA(0:0/16:0)",0.33356,-1.584
